"URI","SAMEAS1","SAMEAS2","NAME1","NAME2","NAME3","DOCURI1","DOCTITLE1","DOCURI2","DOCTITLE2","DOCURI3","DOCTITLE3","DOCURI4","DOCTITLE4","RUNDATETIME"
"http://dbpedia.org/resource/Manuel_I_Komnenos",,,"Manuel I Comnenus","Manuel I Komnenos",,"http://en.wikipedia.org/wiki/Manuel_I_Komnenos","Manuel I Komnenos","http://finds.org.uk/byzantinecoins/rulers/ruler/id/2039","Profile for Emperor: Manuel I Komnenos","http://www.roman-emperors.org/mannycom.htm","Manuel I Comnenus","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Manuel_I_Komnenos","Photos for DBpedia.org resource Manuel_I_Komnenos","2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Marcian",,,"Marcian",,,"http://en.wikipedia.org/wiki/Marcian","Marcian","http://finds.org.uk/byzantinecoins/rulers/ruler/id/2168","Profile for Emperor: Marcian","http://www.roman-emperors.org/marcian.htm","Marcian (m. Pulcheria, gnddghtr Theod I)","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Marcian","Photos for DBpedia.org resource Marcian","2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Marcus_Aurelius","http://nomisma.org/id/marcus_aurelius","http://viaf.org/viaf/102895066","Marcus Aurelius",,,"http://en.wikipedia.org/wiki/Marcus_Aurelius","Marcus Aurelius","http://finds.org.uk/romancoins/emperors/emperor/id/19","Profile for Emperor: Marcus Aurelius","http://www.roman-emperors.org/marcaur.htm","Marcus Aurelius","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Marcus_Aurelius","Photos for DBpedia.org resource Marcus_Aurelius","2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Marcus_Aurelius_Marius",,,"Marius",,,"http://en.wikipedia.org/wiki/Marcus_Aurelius_Marius","Marcus Aurelius Marius","http://finds.org.uk/romancoins/emperors/emperor/id/78","Profile for Emperor: Marius","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Marcus_Aurelius_Marius","Photos for DBpedia.org resource Marcus_Aurelius_Marius",,,"2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Marcus_Aurelius_Probus","http://viaf.org/viaf/72190445",,"M. Aurelius Probus","Probus",,"http://en.wikipedia.org/wiki/Marcus_Aurelius_Probus","Marcus Aurelius Probus","http://finds.org.uk/romancoins/emperors/emperor/id/60","Profile for Emperor: Probus","http://www.roman-emperors.org/probus.htm","M. Aurelius Probus","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Marcus_Aurelius_Probus","Photos for DBpedia.org resource Marcus_Aurelius_Probus","2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Marcus_Claudius_Tacitus","http://viaf.org/viaf/20744377",,"Marcus Claudius Tacitus","Tacitus",,"http://en.wikipedia.org/wiki/Marcus_Claudius_Tacitus","Marcus Claudius Tacitus","http://finds.org.uk/romancoins/emperors/emperor/id/65","Profile for Emperor: Tacitus","http://www.roman-emperors.org/tacitus.htm","Marcus Claudius Tacitus","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Marcus_Claudius_Tacitus","Photos for DBpedia.org resource Marcus_Claudius_Tacitus","2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Matthew_Kantakouzenos",,,"Matthew",,,"http://en.wikipedia.org/wiki/Matthew_Kantakouzenos","Matthew Kantakouzenos","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Matthew_Kantakouzenos","Photos for DBpedia.org resource Matthew_Kantakouzenos",,,,,"2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Maurice_(emperor)",,,"Maurice",,,"http://en.wikipedia.org/wiki/Maurice_(emperor)","Maurice (emperor)","http://finds.org.uk/byzantinecoins/rulers/ruler/id/1981","Profile for Emperor: Maurice","http://www.roman-emperors.org/mauricius.htm","Maurice","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Maurice_(emperor)","Photos for DBpedia.org resource Maurice_(emperor)","2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Maurikios_Chartoularios",,,"Maurikios Chartoularios",,,"http://en.wikipedia.org/wiki/Maurikios_Chartoularios","Maurikios Chartoularios","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Maurikios_Chartoularios","Photos for DBpedia.org resource Maurikios_Chartoularios",,,,,"2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Maxentius","http://viaf.org/viaf/3920874",,"Marcus Aurelius Valerius Maxentius","Maxentius",,"http://en.wikipedia.org/wiki/Maxentius","Maxentius","http://finds.org.uk/romancoins/emperors/emperor/id/129","Profile for Emperor: Maxentius","http://www.roman-emperors.org/maxentiu.htm","Marcus Aurelius Valerius Maxentius","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Maxentius","Photos for DBpedia.org resource Maxentius","2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Maximian","http://viaf.org/viaf/50478873",,"Maximian","Maximianus Herculius",,"http://en.wikipedia.org/wiki/Maximian","Maximian","http://finds.org.uk/romancoins/emperors/emperor/id/56","Profile for Emperor: Maximian","http://www.roman-emperors.org/maxherc.htm","Maximianus Herculius","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Maximian","Photos for DBpedia.org resource Maximian","2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Maximinus_II","http://viaf.org/viaf/69721940",,"Caius Valerius Galerius Maximinus","Maximinus Daia",,"http://en.wikipedia.org/wiki/Maximinus_II","Maximinus II","http://finds.org.uk/romancoins/emperors/emperor/id/130","Profile for Emperor: Maximinus Daia","http://www.roman-emperors.org/daia.htm","Caius Valerius Galerius Maximinus","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Maximinus_II","Photos for DBpedia.org resource Maximinus_II","2014-01-22T12:06:09-06:00"
"http://dbpedia.org/resource/Maximinus_Thrax","http://viaf.org/viaf/72703271",,"Maximinus Thrax",,,"http://en.wikipedia.org/wiki/Maximinus_Thrax","Maximinus Thrax","http://finds.org.uk/romancoins/emperors/emperor/id/79","Profile for Emperor: Maximinus Thrax","http://www.roman-emperors.org/maxthrax.htm","Maximinus Thrax","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Maximinus_Thrax","Photos for DBpedia.org resource Maximinus_Thrax","2014-01-22T12:06:09-06:00"
